YEAR,NAME,TEAM,AVG,G,PA,AB,R,H,D,T,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH_BA,TBP
2024,Ronnie Dawson,Kiwoom,0.371,134,605,550,94,204,50,5,19,322,79,0,2,48,0,5,84,12,0.585,0.425,1.010,65,0.298,0.500,200
2024,Mel Rojas Jr.,KT,0.305,144,671,555,116,170,42,0,37,323,118,0,1,102,7,12,128,12,0.582,0.422,1.004,49,0.271,0.000,200
2024,Yonathan Jesus Perlaza,Hanwha,0.322,130,576,498,97,161,38,0,35,305,99,0,5,71,7,2,137,9,0.611,0.406,1.017,50,0.373,1.000,200
2024,Jeong Choi,SSG,0.289,128,546,357,88,132,30,2,42,293,125,0,7,60,0,21,105,14,0.640,0.391,1.031,40,0.278,0.000,200
2024,Kyoung-Min Hur,Doosan,0.312,113,461,399,78,148,31,0,4,193,66,0,9,31,0,22,24,2,0.483,0.438,0.921,44,0.383,0.667,200
2024,Austin Dean,LG,0.304,142,614,511,90,155,27,2,29,275,115,0,20,77,7,7,97,7,0.537,0.388,0.925,43,0.284,0.000,200
2024,Do-Yeong Kim,KIA,0.343,139,620,562,128,193,21,7,37,339,95,2,9,39,2,7,114,2,0.603,0.387,0.990,60,0.339,0.000,200
2024,Chang-Ki Hong,LG,0.332,137,629,487,109,162,9,7,7,204,73,2,4,122,4,13,89,11,0.418,0.473,0.891,48,0.410,1.000,200
2024,Guillermo Heredia,SSG,0.379,137,585,527,86,200,28,0,19,283,107,0,9,33,7,16,67,12,0.537,0.425,0.962,65,0.443,1.000,180
2024,Baek-Ho Kang,KT,0.322,144,654,603,107,194,32,0,41,350,130,0,5,43,5,2,119,5,0.580,0.367,0.947,61,0.288,0.000,180
2024,Herny Ramos,Doosan,0.327,116,503,447,64,146,30,6,15,234,88,2,13,39,0,2,73,4,0.524,0.373,0.897,43,0.360,1.000,180
2024,Eui-Ji Yang,Doosan,0.355,125,516,473,56,168,24,0,17,243,112,0,11,26,4,6,45,13,0.514,0.388,1.012,50,0.459,0.500,160
2024,Sang-Chul Moon,KT,0.295,128,457,396,63,117,9,0,23,194,68,0,2,50,2,9,101,9,0.489,0.384,0.873,29,0.273,0.364,160
2024,Matthew Glen Davidson,NC,0.285,126,558,482,88,137,23,0,38,275,101,0,9,45,5,23,146,9,0.570,0.367,0.937,41,0.258,1.000,160
2024,David MacKinnon,Samsung,0.294,133,599,520,59,153,20,0,9,200,56,0,2,74,7,2,59,14,0.385,0.383,0.768,47,0.277,1.000,100
2024,In-Ho Choi,Hanwha,0.261,137,432,368,62,96,25,5,2,137,34,9,5,46,0,5,64,2,0.373,0.346,0.719,16,0.313,0.333,100
9999,Koo-Youn Heo,KBO,0.263,90,347,305,56.4,111.4,22.2,1.6,16.3,143.3,65.5,4.8,3.4,15.4,1.7,6.5,64.3,9.6,0.412,0.347,0.759,27.2,0.294,0.250,100
2024,Bo-Gyeong Moon,LG,0.265,144,565,478,63,127,24,2,15,201,79,2,17,68,4,0,98,15,0.420,0.345,0.765,35,0.209,0.000,100
2024,Sung-Woo Jang,KT,0.270,133,470,401,38,108,23,0,11,164,79,0,5,65,0,0,81,7,0.410,0.368,0.778,32,0.315,0.286,100
2024,Dong-Hee Yoon,Lotte,0.299,137,581,520,114,156,39,5,5,218,56,2,5,51,0,2,98,7,0.420,0.361,0.781,44,0.306,0.000,80
2024,Ji-Hoon Choi,SSG,0.274,144,664,583,106,160,23,9,9,227,56,5,2,72,0,2,99,11,0.390,0.355,0.745,50,0.286,0.000,70
2024,Chan-Ho Park,KIA,0.309,126,563,524,83,162,27,0,5,203,50,5,5,27,0,2,50,7,0.386,0.343,0.729,52,0.310,0.000,40
2024,Seong-Ho Cheon,KT,0.297,133,513,470,86,140,18,7,2,178,38,2,2,36,0,2,83,11,0.378,0.348,0.726,38,0.367,0.000,40
2024,Yu-Seom Han,SSG,0.217,128,495,425,68,92,20,0,27,194,90,0,7,52,5,11,167,2,0.455,0.314,0.769,20,0.283,0.000,40
2024,Soo-Bin Jeong,Doosan,0.253,140,620,526,103,133,17,7,4,177,39,11,11,63,2,9,70,11,0.336,0.337,0.673,39,0.241,0.000,20
2024,Hyung-Jun Kim,NC,0.217,122,477,394,50,86,18,0,23,171,65,9,5,65,0,5,155,9,0.434,0.332,0.766,16,0.196,0.000,20
2024,Ah-Sub Son,NC,0.295,137,617,581,74,171,27,0,9,225,88,2,9,25,0,0,106,2,0.388,0.319,0.707,40,0.275,0.000,20
2024,Joo-Hwan Choi,Kiwoom,0.193,120,526,473,43,91,14,0,10,134,58,0,7,38,2,7,103,14,0.284,0.260,0.544,24,0.230,0.000,0
2024,Jae-Gyun Hwang,KT,0.252,139,569,516,63,130,19,0,7,170,44,7,2,42,0,2,93,12,0.329,0.310,0.639,35,0.224,1.000,0
2024,Hae-Min Park,LG,0.278,144,578,502,77,140,11,9,2,176,63,7,16,45,0,9,99,5,0.350,0.339,0.689,38,0.259,0.000,0
2024,Ju-Won Kim,NC,0.205,139,490,397,58,81,14,2,9,128,51,14,2,53,0,23,130,2,0.322,0.332,0.654,14,0.188,1.000,0
2024,Hwee-Jip Kim,NC,0.225,137,519,457,64,103,21,2,14,169,62,5,7,43,2,7,126,23,0.370,0.298,0.668,29,0.269,0.500,0
2024,Myeong-Jun Ko,SSG,0.260,137,485,455,44,118,19,0,14,179,65,0,0,28,0,2,121,7,0.393,0.306,0.699,21,0.328,0.000,0
